id,last_user,last_date,name,description,credential_level,credential_list,rate,provider_level,provider_list,hotel_level,hotel_list,refundable,meal_level,meal_list,market_level,market_list,paying_society_level,paying_society_list,check_in_level,check_in_from,check_in_to,booking_date_level,booking_date_from,booking_date_to,commission,ovr,dynamic,max_release,days_of_week_level,days_of_week_list,age,room_level,room_list,num_of_nights_level,num_of_nights_list,hours_level,hours_list,price_range_level,price_range_from,price_range_to,release_range_level,release_range_from,release_range_to
14314,AzureFunctions,23-01-2025 14:33:41,February Push - Methabook,February Push - Methabook,1,"['9021', '11365', '4162']",0,0,,0,,0,0,,0,,0,,1,2025-02-01,2025-02-28,1,2025-01-24,2025-01-30,-0.5,False,True,0,0,,0,0,,0,,0,,0,0,0,0,0,0
14315,AzureFunctions,23-01-2025 14:33:41,February Push - Rezlive,February Push - Rezlive,1,"['4770', '34366']",0,0,,0,,0,0,,0,,0,,1,2025-02-01,2025-02-28,1,2025-01-24,2025-01-30,0.2,False,True,0,0,,0,0,,0,,0,,0,0,0,0,0,0
14316,AzureFunctions,23-01-2025 14:33:42,February Push - Escalabeds,February Push - Escalabeds,1,"['33903', '33904', '34083']",0,0,,0,,0,0,,0,,0,,1,2025-02-01,2025-02-28,1,2025-01-24,2025-01-30,0.3,False,True,0,0,,0,0,,0,,0,,0,0,0,0,0,0
14317,AzureFunctions,23-01-2025 14:33:43,February Push - Central de Reservas,February Push - Central de Reservas,1,"['33539', '34127', '21216', '33637', '3693']",0,0,,0,,0,0,,0,,0,,1,2025-02-01,2025-02-28,1,2025-01-24,2025-01-30,0.2,False,True,0,0,,0,0,,0,,0,,0,0,0,0,0,0
14318,AzureFunctions,23-01-2025 14:33:43,February Push - All Seasons,February Push - All Seasons,1,"['35003', '33875']",0,0,,0,,0,0,,0,,0,,1,2025-02-01,2025-02-28,1,2025-01-24,2025-01-30,0.2,False,True,0,0,,0,0,,0,,0,,0,0,0,0,0,0
14319,AzureFunctions,23-01-2025 14:33:44,February Push - Nuitee,February Push - Nuitee,1,"['35000', '8733', '4982', '4396']",0,0,,0,,0,0,,0,,0,,1,2025-02-01,2025-02-28,1,2025-01-24,2025-01-30,0.1,False,True,0,0,,0,0,,0,,0,,0,0,0,0,0,0
14320,AzureFunctions,23-01-2025 14:33:44,February Push - Holisto (Splitty-Traveluro),February Push - Holisto (Splitty-Traveluro),1,"['11995', '11993', '11992', '11986', '11994']",0,0,,0,,0,0,,0,,0,,1,2025-02-01,2025-02-28,1,2025-01-24,2025-01-30,-0.5,False,True,0,0,,0,0,,0,,0,,0,0,0,0,0,0
14321,AzureFunctions,23-01-2025 14:33:45,February Push - 6 Tour,February Push - 6 Tour,1,['5060'],0,0,,0,,0,0,,0,,0,,1,2025-02-01,2025-02-28,1,2025-01-24,2025-01-30,0.3,False,True,0,0,,0,0,,0,,0,,0,0,0,0,0,0
14322,AzureFunctions,23-01-2025 14:33:46,February Push - AIRTOUR,February Push - AIRTOUR,1,['6016'],0,0,,0,,0,0,,0,,0,,1,2025-02-01,2025-02-28,1,2025-01-24,2025-01-30,0.2,False,True,0,0,,0,0,,0,,0,,0,0,0,0,0,0
14323,AzureFunctions,23-01-2025 14:33:46,February Push - Tale Travel,February Push - Tale Travel,1,['32834'],0,0,,0,,0,0,,0,,0,,1,2025-02-01,2025-02-28,1,2025-01-24,2025-01-30,-0.5,False,True,0,0,,0,0,,0,,0,,0,0,0,0,0,0
14324,AzureFunctions,23-01-2025 14:33:47,February Push - Ottila,February Push - Ottila,1,"['6257', '34398']",0,0,,0,,0,0,,0,,0,,1,2025-02-01,2025-02-28,1,2025-01-24,2025-01-30,0.3,False,True,0,0,,0,0,,0,,0,,0,0,0,0,0,0
14325,AzureFunctions,23-01-2025 14:33:48,February Push - Stayforlong,February Push - Stayforlong,1,"['33284', '6288', '30830', '22003']",0,0,,0,,0,0,,0,,0,,1,2025-02-01,2025-02-28,1,2025-01-24,2025-01-30,-0.5,False,True,0,0,,0,0,,0,,0,,0,0,0,0,0,0
14326,AzureFunctions,23-01-2025 14:33:48,February Push - Hotelbeds Brasil,February Push - Hotelbeds Brasil,1,['10676'],0,0,,0,,0,0,,0,,0,,1,2025-02-01,2025-02-28,1,2025-01-24,2025-01-30,-0.5,False,True,0,0,,0,0,,0,,0,,0,0,0,0,0,0
14327,AzureFunctions,23-01-2025 14:33:49,February Push - Caspi Tours,February Push - Caspi Tours,1,['11189'],0,0,,0,,0,0,,0,,0,,1,2025-02-01,2025-02-28,1,2025-01-24,2025-01-30,-0.5,False,True,0,0,,0,0,,0,,0,,0,0,0,0,0,0
14328,AzureFunctions,23-01-2025 14:33:49,February Push - Geotravel Operador Mayorista,February Push - Geotravel Operador Mayorista,1,['34427'],0,0,,0,,0,0,,0,,0,,1,2025-02-01,2025-02-28,1,2025-01-24,2025-01-30,-0.5,False,True,0,0,,0,0,,0,,0,,0,0,0,0,0,0
14329,AzureFunctions,23-01-2025 14:33:50,February Push - trip.com ,February Push - trip.com ,1,['12122'],0,0,,0,,0,0,,0,,0,,1,2025-02-01,2025-02-28,1,2025-01-24,2025-01-30,-0.5,False,True,0,0,,0,0,,0,,0,,0,0,0,0,0,0
14330,AzureFunctions,23-01-2025 14:33:51,February Push - Karpaten ,February Push - Karpaten ,1,['12175'],0,0,,0,,0,0,,0,,0,,1,2025-02-01,2025-02-28,1,2025-01-24,2025-01-30,-0.5,False,True,0,0,,0,0,,0,,0,,0,0,0,0,0,0
14331,AzureFunctions,23-01-2025 14:33:51,February Push - FindHotel,February Push - FindHotel,1,"['21217', '31083', '33182', '21950', '35020']",0,0,,0,,0,0,,0,,0,,1,2025-02-01,2025-02-28,1,2025-01-24,2025-01-30,0.3,False,True,0,0,,0,0,,0,,0,,0,0,0,0,0,0
14332,AzureFunctions,23-01-2025 14:33:52,February Push - AIRTICKET GROUP,February Push - AIRTICKET GROUP,1,['30710'],0,0,,0,,0,0,,0,,0,,1,2025-02-01,2025-02-28,1,2025-01-24,2025-01-30,-0.5,False,True,0,0,,0,0,,0,,0,,0,0,0,0,0,0
14333,AzureFunctions,23-01-2025 14:33:53,"February Push - HONGKONG YONGZHENG TECHNOLOGY CO.,LIMITED","February Push - HONGKONG YONGZHENG TECHNOLOGY CO.,LIMITED",1,"['30933', '34463']",0,0,,0,,0,0,,0,,0,,1,2025-02-01,2025-02-28,1,2025-01-24,2025-01-30,0.3,False,True,0,0,,0,0,,0,,0,,0,0,0,0,0,0
14334,AzureFunctions,23-01-2025 14:33:53,February Push - PRESTIGIA,February Push - PRESTIGIA,1,"['31318', '32713', '34045']",0,0,,0,,0,0,,0,,0,,1,2025-02-01,2025-02-28,1,2025-01-24,2025-01-30,-0.5,False,True,0,0,,0,0,,0,,0,,0,0,0,0,0,0
14335,AzureFunctions,23-01-2025 14:33:54,February Push - TRIP JACK,February Push - TRIP JACK,1,['32703'],0,0,,0,,0,0,,0,,0,,1,2025-02-01,2025-02-28,1,2025-01-24,2025-01-30,0.1,False,True,0,0,,0,0,,0,,0,,0,0,0,0,0,0
14336,AzureFunctions,23-01-2025 14:33:54,February Push - NAUTALIA VIAJES,February Push - NAUTALIA VIAJES,1,"['32879', '32963', '33062', '33125', '32904', '33113', '33038', '32973', '33055', '34467', '32981', '34301', '32899', '33129', '33074', '32888', '33056', '32917', '33101', '33006', '32972', '32974', '33051', '32968', '33105', '33427', '34764', '33103', '33428', '32912', '32908', '32956', '33024', '32969', '33121', '33063', '32900', '32914', '32944', '32927', '32921', '32878', '33010', '33429', '32989', '32978', '32906', '33014', '33087', '34237', '32922', '34655', '32985', '33041', '32996', '33059', '33000', '33067', '33094', '33098', '33118', '32994', '33025', '33086', '33119', '33004', '32955', '33089', '32987', '34468', '33068', '32886', '32949', '33049', '33123', '32953', '32995', '33078', '33114', '33002', '33072', '32977', '33076', '33039', '32895', '32892', '32918', '33016', '32983', '33106', '32991', '33029', '32898', '33052', '33053', '33950', '33022', '33026', '34059', '33032', '32943', '32967', '32909', '33079', '33031', '32946', '33099', '33117', '32877', '32896', '33109', '33112', '32913', '32984', '33108', '33097', '32715', '33083', '33092', '33122', '32975', '33021', '32948', '33949', '33001', '32919', '33070', '34303', '34656', '32997', '32942', '32960', '33030', '33088', '33005', '32952', '34238', '33027', '33432', '33058', '32964', '32876', '32962', '33066', '33057', '32887', '33040', '32980', '33033', '32926', '32885', '32982', '34302', '33096', '33020', '33100', '33077', '33011', '33115', '32947', '32966', '32988', '33037', '32979', '33061', '32951', '32990', '32901', '33046', '33073', '33110', '33538', '32945', '33084', '34473', '34051', '33013', '33034', '33080', '33007', '32976', '33015', '32907', '33065', '33035', '33042', '33889', '33050', '33082', '33069', '33075', '33008', '33048', '33431', '33091', '33023', '33064', '33054', '32965', '33028', '32915', '32941', '32889', '33017', '33085', '32897', '33685', '32930', '32940', '33104', '33124', '33060', '32905', '33090', '33019', '32923', '33071', '33081', '33120', '32867', '33093', '32998', '32986', '33116', '32999', '33111', '32903', '33012']",0,0,,0,,0,0,,0,,0,,1,2025-02-01,2025-02-28,1,2025-01-24,2025-01-30,-0.5,False,True,0,0,,0,0,,0,,0,,0,0,0,0,0,0
14337,AzureFunctions,23-01-2025 14:33:55,February Push - AMADEUS,February Push - AMADEUS,1,"['33144', '33143']",0,0,,0,,0,0,,0,,0,,1,2025-02-01,2025-02-28,1,2025-01-24,2025-01-30,-0.25,False,True,0,0,,0,0,,0,,0,,0,0,0,0,0,0
14338,AzureFunctions,23-01-2025 14:33:56,February Push - Adventures Kuwait,February Push - Adventures Kuwait,1,"['34298', '33275']",0,0,,0,,0,0,,0,,0,,1,2025-02-01,2025-02-28,1,2025-01-24,2025-01-30,-0.5,False,True,0,0,,0,0,,0,,0,,0,0,0,0,0,0
14339,AzureFunctions,23-01-2025 14:33:56,February Push - AD TURISMO,February Push - AD TURISMO,1,['33367'],0,0,,0,,0,0,,0,,0,,1,2025-02-01,2025-02-28,1,2025-01-24,2025-01-30,0.1,False,True,0,0,,0,0,,0,,0,,0,0,0,0,0,0
14340,AzureFunctions,23-01-2025 14:33:57,February Push - 3 FULL STEPS ,February Push - 3 FULL STEPS ,1,"['34186', '34187', '33491']",0,0,,0,,0,0,,0,,0,,1,2025-02-01,2025-02-28,1,2025-01-24,2025-01-30,-0.5,False,True,0,0,,0,0,,0,,0,,0,0,0,0,0,0
14341,AzureFunctions,23-01-2025 14:33:58,February Push - DIDATRAVEL TECHNOLOGY SINGAPORE,February Push - DIDATRAVEL TECHNOLOGY SINGAPORE,1,"['33589', '33592', '33591']",0,0,,0,,0,0,,0,,0,,1,2025-02-01,2025-02-28,1,2025-01-24,2025-01-30,-0.5,False,True,0,0,,0,0,,0,,0,,0,0,0,0,0,0
14342,AzureFunctions,23-01-2025 14:33:58,February Push - Turivel,February Push - Turivel,1,['34179'],0,0,,0,,0,0,,0,,0,,1,2025-02-01,2025-02-28,1,2025-01-24,2025-01-30,-0.5,False,True,0,0,,0,0,,0,,0,,0,0,0,0,0,0
14343,AzureFunctions,23-01-2025 14:33:59,February Push - Agenda Events and Conferences LLC,February Push - Agenda Events and Conferences LLC,1,['33833'],0,0,,0,,0,0,,0,,0,,1,2025-02-01,2025-02-28,1,2025-01-24,2025-01-30,-0.5,False,True,0,0,,0,0,,0,,0,,0,0,0,0,0,0
14344,AzureFunctions,23-01-2025 14:33:59,February Push - Organización Piamonte,February Push - Organización Piamonte,1,['33958'],0,0,,0,,0,0,,0,,0,,1,2025-02-01,2025-02-28,1,2025-01-24,2025-01-30,0.2,False,True,0,0,,0,0,,0,,0,,0,0,0,0,0,0
14345,AzureFunctions,23-01-2025 14:34:00,February Push - Ricale Viajes,February Push - Ricale Viajes,1,['34055'],0,0,,0,,0,0,,0,,0,,1,2025-02-01,2025-02-28,1,2025-01-24,2025-01-30,0.2,False,True,0,0,,0,0,,0,,0,,0,0,0,0,0,0
14346,AzureFunctions,23-01-2025 14:34:01,February Push - Planet Travel LATAM,February Push - Planet Travel LATAM,1,"['34060', '35005']",0,0,,0,,0,0,,0,,0,,1,2025-02-01,2025-02-28,1,2025-01-24,2025-01-30,0.2,False,True,0,0,,0,0,,0,,0,,0,0,0,0,0,0
